,Data
100,Swaziland_Sub-Saharan Africa_4.867
101,Greece_Western Europe_4.857
102,Lebanon_Middle East and Northern Africa_4.839
103,Hungary_Central and Eastern Europe_4.8
104,Honduras_Latin America and Caribbean_4.788
105,Tajikistan_Central and Eastern Europe_4.786
106,Tunisia_Middle East and Northern Africa_4.739
107,Palestinian Territories_Middle East and Northern Africa_4.715
108,Bangladesh_Southern Asia_4.694
109,Iran_Middle East and Northern Africa_4.686
110,Ukraine_Central and Eastern Europe_4.681
111,Iraq_Middle East and Northern Africa_4.677
112,South Africa_Sub-Saharan Africa_4.642
113,Ghana_Sub-Saharan Africa_4.633
114,Zimbabwe_Sub-Saharan Africa_4.61
115,Liberia_Sub-Saharan Africa_4.571
116,India_Southern Asia_4.565
117,Sudan_Sub-Saharan Africa_4.55
118,Haiti_Latin America and Caribbean_4.518
119,Congo (Kinshasa)_Sub-Saharan Africa_4.517
120,Nepal_Southern Asia_4.514
121,Ethiopia_Sub-Saharan Africa_4.512
122,Sierra Leone_Sub-Saharan Africa_4.507
123,Mauritania_Sub-Saharan Africa_4.436
124,Kenya_Sub-Saharan Africa_4.419
125,Djibouti_Sub-Saharan Africa_4.369
126,Armenia_Central and Eastern Europe_4.35
127,Botswana_Sub-Saharan Africa_4.332
128,Myanmar_Southeastern Asia_4.307
129,Georgia_Central and Eastern Europe_4.297
130,Malawi_Sub-Saharan Africa_4.292
131,Sri Lanka_Southern Asia_4.271
132,Cameroon_Sub-Saharan Africa_4.252
133,Bulgaria_Central and Eastern Europe_4.218
134,Egypt_Middle East and Northern Africa_4.194
135,Yemen_Middle East and Northern Africa_4.077
136,Angola_Sub-Saharan Africa_4.033
137,Mali_Sub-Saharan Africa_3.995
138,Congo (Brazzaville)_Sub-Saharan Africa_3.989
139,Comoros_Sub-Saharan Africa_3.956
140,Uganda_Sub-Saharan Africa_3.931
141,Senegal_Sub-Saharan Africa_3.904
142,Gabon_Sub-Saharan Africa_3.896
143,Niger_Sub-Saharan Africa_3.845
144,Cambodia_Southeastern Asia_3.819
145,Tanzania_Sub-Saharan Africa_3.781
146,Madagascar_Sub-Saharan Africa_3.681
147,Central African Republic_Sub-Saharan Africa_3.678
148,Chad_Sub-Saharan Africa_3.667
149,Guinea_Sub-Saharan Africa_3.656
150,Ivory Coast_Sub-Saharan Africa_3.655
151,Burkina Faso_Sub-Saharan Africa_3.587
152,Afghanistan_Southern Asia_3.575
153,Rwanda_Sub-Saharan Africa_3.465
154,Benin_Sub-Saharan Africa_3.34
155,Syria_Middle East and Northern Africa_3.006
156,Burundi_Sub-Saharan Africa_2.905
157,Togo_Sub-Saharan Africa_2.839
